Q1535,Q1007,Q1559,Q1583,Q1038,Q1607,Q1631,Q1069,Q1655,Q1679,Q1100,Q1727,Q1703,Q1131,Q1751,Q1775,Q1162,Q1799,Q1823,Q1193,Q1847,Q1871,Q1224,Q1895,Q1919,Q1255,Q1943,Q1967,Q1286,Q1991,Q2015,Q1317,Q2039,Q2063,Q1348,Q2087,Q2111,Q1379,Q2135,Q2159,Q1410,Q2183,Q2207
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Eat less,,,Eat less,,,Eat less,,,Eat less,,,Eat less,,,Eat less,,,Eat less,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat less,,,Eat slower,,,Eat slower,,,Eat slower,,
"",Eat less,,,Eat slower,,,Eat less,,,Eat less,,,Eat less,,,Eat less,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat less,,,Eat slower,,,Eat slower,,,Eat slower,,
"",Eat slower,,,Eat less,,,Eat less,,,Eat less,,,Eat less,,,Eat less,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat less,,,Eat slower,,,Eat slower,,,Eat slower,,
"",Eat less,,,,,,Eat less,,,,,,Eat more,,,,,,Eat slower,,,,,,Eat slower,,,,,,,,,Eat slower,,,,,,Eat slower,,
"",Eat less,,,,,,,,,Eat less,,,Eat less,,,,,,Eat slower,,,,,,Eat slower,,,,,,Eat slower,,,,,,,,,Eat less,,
"",,,,,,,,,,Eat less,,,Eat slower,,,,,,,,,,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,,,,,,,
"",Eat less,,,Eat slower,,,Eat less,,,Eat less,,,Eat less,,,Eat less,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,
"",Eat less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Eat less,,,Eat slower,,,Eat less,,,Eat less,,,Eat slower,,,Eat less,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,
"",Eat slower,,,Eat faster,,,Eat more,,,Eat faster,,,Eat more,,,Eat slower,,,Eat less,,,Eat faster,,,Eat more,,,Eat more,,,Eat faster,,,Eat faster,,,Eat less,,,Eat slower,,
"",Eat more,,,,,Eat slower,,,Eat faster,,,Eat less,,,Eat less,Eat less,,,Eat slower,,,Eat less,,,,Eat faster,,,Eat more,,,,Eat slower,Eat faster,,,,,Eat more,,,Eat faster
"",,,,,,,,,,,,,,,,,Eat less,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,Eat less,,,Eat less,,,Eat less,,Eat less,,Eat less,,,,,Eat less,,Eat slower,,Eat slower,,,Eat slower,,,,Eat slower,,Eat less,,,,,Eat slower,,Eat slower,,,,Eat slower
"",,Eat less,,,Eat less,,Eat less,,,,,Eat less,,,Eat less,,,Eat less,,,Eat slower,,Eat less,,,Eat slower,,,Eat slower,,,,Eat slower,Eat slower,,,Eat slower,,,,,Eat slower
Eat less,,Eat more,,,Eat faster,,Eat more,,,,,Eat less,,Eat more,,,,Eat faster,Eat faster,,,,Eat less,,Eat faster,,,,Eat more,,,,Eat less,Eat faster,,,,,Eat less,,Eat more,
"",,,,,,,,,,,Eat faster,,,,,,,,,,,,,,Eat more,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,Eat slower,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,Eat less,,,,,,Eat less,Eat less,,,,Eat less,,Eat less,,,,,Eat slower,,Eat less,,,,Eat slower,,,Eat slower,,Eat slower,,Eat slower,,,,,Eat slower,,,Eat less
"",,,,,,,,,,,Eat less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eat less,,Eat less,,,,,,Eat less,,Eat less,,,,,Eat less,,,Eat less,,Eat slower,,,,Eat slower,Eat slower,,,,,Eat slower,,,,,Eat slower,,Eat slower,,,,,Eat slower
Eat less,,,Eat less,,,,Eat less,,,Eat less,,,,Eat less,,,,,,Eat less,,,,Eat slower,,,Eat slower,,,Eat slower,,,Eat slower,,Eat slower,,,,Eat slower,,Eat slower,
